Date,Close,High,Low,Open,Volume
,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
2015-01-01,189.99978637695312,190.8771400134829,189.09033548185477,189.65741561888825,2963643
2015-01-02,189.4969482421875,191.74382815812206,189.22947104058622,190.04261601795088,7331366
2015-01-05,187.4212646484375,190.6417900892634,187.04678228843514,189.37925486692558,10103941
2015-01-06,178.91525268554688,186.81140833967845,178.03789888297737,186.1694487623213,18627980
2015-01-07,182.80982971191406,183.77277619196656,179.1078453068099,179.12924348261123,20720312
2015-01-08,180.18849182128906,184.65014028561507,179.78191217385094,184.05096276070768,19872227
2015-01-09,184.09373474121094,184.45751798649138,180.8197283871731,181.54728059323858,13392787
2015-01-12,181.953857421875,184.2435334450875,180.09217344442607,184.13654257589423,10100113
2015-01-13,180.42385864257812,182.94891476700133,179.85679270891694,182.53163606142144,9948711
2015-01-14,178.66915893554688,181.2477104052324,177.86669881659475,180.39175484961623,11380041
2015-01-15,184.93899536132812,186.4048131781008,179.74979516459382,179.74979516459382,16927085
2015-01-16,186.105224609375,187.23935634856096,182.3283327949327,184.02953040371162,19136963
2015-01-19,188.23443603515625,189.59324885147356,183.7620884559331,186.21225115902527,13339962
2015-01-20,193.24172973632812,193.77669838636558,188.06321434843136,188.63029454489703,13361320
2015-01-21,194.03350830078125,195.02855215285447,190.88789040858146,193.6590401834942,17084297
2015-01-22,189.11178588867188,194.12980116349135,188.20233481106973,193.69112425719513,23721627
2015-01-23,189.78582763671875,192.11828584647952,187.66735117666227,190.44918534529805,18080494
2015-01-27,190.24591064453125,191.88291395176273,188.41630947001002,191.06975469986517,17939876
2015-01-28,194.0548553466797,194.6861300041943,189.61460599405672,189.61460599405672,19298126
2015-01-29,198.88031005859375,199.97164555622763,194.06557782256655,194.10837417270935,36117653
2015-01-30,195.85235595703125,199.27616349453464,194.51492734337523,199.0086720580058,21746801
2015-02-02,194.31167602539062,196.84743125784271,193.80880461402253,196.0235729278048,19302710
2015-02-03,200.63504028320312,201.3304953363109,195.41372784477915,195.41372784477915,17092333
2015-02-04,198.75193786621094,201.96175010615312,198.13137645200834,200.95600722349823,14072894
2015-02-05,197.6605987548828,201.12718905570785,196.35526713457438,200.2926458875079,12365643
2015-02-06,194.70753479003906,199.00868188305802,193.2310179844294,197.74616109413523,9045844
2015-02-09,191.88291931152344,196.4408594587449,190.87717644873985,192.8458658213798,8839692
2015-02-10,188.7373046875,193.5520230294048,184.30775352810963,192.1611129679973,13651008
2015-02-11,192.73886108398438,193.60551573745482,188.95126984622166,189.5932293784795,9781008
2015-02-12,194.5470733642578,195.57421445450925,189.86074392554787,194.30099432270688,8709626
2015-02-13,196.3338623046875,197.040016389926,194.52565931328633,195.58489758339235,7393680
2015-02-16,193.18824768066406,197.76758592734356,192.58907018076474,196.59064338814545,12266698
2015-02-18,192.942138671875,194.30096559739172,191.3907281770942,192.58905451039527,9835036
2015-02-19,193.0277557373047,194.21539741784883,189.92493435604038,194.07629498243546,9550637
2015-02-20,186.832763671875,191.73308779527505,186.4475822999912,191.57258722436885,18717199
2015-02-23,182.19998168945312,187.61387772073877,181.26913240018587,186.15875879877476,14104463
2015-02-24,180.06005859375,183.34477820915185,179.10782559091496,182.79911050178785,19946218
2015-02-25,180.42385864257812,183.28060077082046,179.97448267383797,181.6328984084374,15274116
2015-02-26,180.177734375,181.88963083377624,179.02219033794566,181.055073632208,21459750
2015-02-27,183.07730102539062,184.24354442256953,180.73414371246815,181.36540416281517,18659378
2015-03-02,184.93899536132812,187.34636143153838,183.0772970290994,185.9554372260285,14579511
2015-03-03,192.76025390625,193.969279324954,185.613063696691,185.95543448599022,20636925
2015-03-04,189.98910522460938,194.6540500885291,188.32000476800712,193.87298815397747,14476047
2015-03-05,189.36854553222656,192.3215793319759,187.9134268069372,190.98415056690584,10716702
2015-03-09,186.09451293945312,190.8236520656184,184.91758484346377,189.40063069312518,14065391
2015-03-10,183.84765625,187.41055224966092,183.04519614763234,185.94473446187305,15234060
2015-03-11,183.1628875732422,186.08380957281463,182.40322387247994,184.23282477853152,11635873
2015-03-12,184.84271240234375,185.613075295397,183.08800485955376,183.6015896445869,11782380
2015-03-13,181.9110565185547,186.08381458855538,181.2476988616737,185.95542554873873,12936157
2015-03-16,180.19920349121094,182.73495906487344,179.81402199387654,182.2106894073482,13839990
2015-03-17,183.35548400878906,184.00814260727708,179.96377340198245,182.00735617885903,19070082
2015-03-18,185.8805694580078,186.65093242137806,182.89543797281914,183.38761034261188,9269885
2015-03-19,183.2056884765625,187.60312735711426,182.76701164027128,187.3570483646431,13934612
2015-03-20,182.76702880859375,184.27564301850518,181.59008631534266,183.5801737532895,10405717
2015-03-23,180.1670684814453,184.88549441073982,179.34321021313397,183.28058850662916,13251683
2015-03-24,181.4509735107422,182.809800309064,180.19915185871298,180.19915185871298,9238431
2015-03-25,180.79833984375,181.78268447671076,179.9637824379149,181.67569360019246,10264941
2015-03-26,177.4601287841797,181.72919342066984,176.34739507256452,179.98518495338175,20621346
2015-03-27,173.69393920898438,178.6798567145218,171.50055489934067,178.4444625104279,23326922
2015-03-30,173.49066162109375,174.97787776886372,170.43063661796947,174.74249782300674,17330588
2015-03-31,176.7539825439453,178.23049959453544,175.042071264393,175.042071264393,20235395
2015-04-01,178.904541015625,179.53580146037353,173.99351702564954,176.51857308913966,14588531
2015-04-06,176.46507263183594,179.32181460987394,175.7696176820999,178.89383683907658,12334096
2015-04-07,178.21978759765625,178.91524257679168,176.7646688292302,176.7646688292302,21275454
2015-04-08,185.29209899902344,186.0624476517458,178.23050064066481,178.35888970203567,24821205
2015-04-09,191.54051208496094,192.37506943966292,183.7727606582179,185.20648116920796,27276420
2015-04-10,193.51991271972656,194.4721600924163,190.25660526974175,191.50842709752723,25323219
2015-04-13,197.40380859375,197.885281855081,192.321598771088,194.04419485280718,20177342
